gene	missenseVusDriversPerSample	missensePassengersPerMutation	nonsenseVusDriversPerSample	nonsensePassengersPerMutation	spliceVusDriversPerSample	splicePassengersPerMutation	indelVusDriversPerSample	indelPassengersPerMutation
TMC2	0.0037945800333461	4.74096588096626e-07	0.000768608627026552	3.95737199439953e-08	0.000288228235134957	1.48401449789982e-08	7.857791425329e-06	1.37519986909991e-07
TMC3	0	6.2597004455509e-07	3.36142503609621e-05	4.16052520002365e-08	0.000130340276860772	2.08026260001182e-08	0.000320751231484862	1.2705149753441e-07
TMC4	0.00189093570831894	3.14462647210369e-07	6.18591492585644e-05	6.23888314000433e-09	0.000185577447775693	1.8716649420013e-08	0.000183925361908134	1.43740393576612e-07
TMC5	0	7.20294297844213e-07	0	2.5724796351579e-08	0	1.7149864234386e-08	0.000146639600824591	1.20592521389196e-07
TMC6	0.00243122611730455	2.6833432328973e-07	0	8.57493211719301e-09	0	1.7149864234386e-08	0	8.30870494708601e-08
TMC7	0	3.94446877390879e-07	0.000297541807351227	3.16382914624846e-08	0.000119016722940491	1.26553165849938e-08	0	0
TMC8	0.00148087263420306	3.12798405335049e-07	0.000710722689115257	1.60349282121381e-08	5.72227722855216e-05	6.41397128485525e-09	0	5.53913663139068e-08
TMCC1	0.00135592642276596	1.8031796031913e-07	5.01824107212621e-05	1.52547756235119e-08	0	8.57493211719301e-09	0	5.53913663139068e-08
TMCC2	0.00154746463812035	4.64632402939061e-07	0	8.57493211719301e-09	0	0	0	2.76956831569534e-08
TMCC3	0.000677702106657141	2.14505356218003e-07	0	8.57493211719301e-09	0	0	0	2.76956831569534e-08
TMCO1	0.000900532719393089	1.03191195319665e-07	0	0	0	8.57493211719301e-09	0.000209505094116654	2.98376552588219e-08
TMCO2	0.00054675417370112	8.22515602197912e-08	0	0	0	0	0.000490475314005368	2.32628981460886e-08
TMCO3	0.00142946770091927	2.547151364689e-07	0	8.57493211719301e-09	0	0	0.000189309922703766	8.76922627515111e-08
TMCO4	0.00314319484070392	2.41447535675897e-07	0.000715532346689089	1.58532962984981e-08	0.000143106469337818	3.17065925969962e-09	0	5.53913663139068e-08
TMCO5A	0.0023339188913346	1.34810119597772e-07	0	0	0	0	0.000205415645199587	3.03364526577199e-08
TMCO6	0	1.28623981757895e-07	0	0	0	0	0	2.76956831569534e-08
TMED1	0	6.85994569375441e-08	0	0	0	0	0.000331360830952983	1.49746930828941e-08
TMED10	0	6.85994569375441e-08	0	0	0	0	0	0
TMED2	0	4.28746605859651e-08	0	0	0.00010736490972984	4.5204035540537e-09	0	2.76956831569534e-08
TMED3	0	7.71743890547371e-08	0.00022009959159198	8.83802302769653e-09	0	0	0	2.76956831569534e-08
TMED4	0	9.43242532891232e-08	5.91250283264367e-05	6.34213448573995e-09	0	0	6.76573683829187e-06	2.68704541334329e-08
