gene	missenseVusDriversPerSample	missensePassengersPerMutation	nonsenseVusDriversPerSample	nonsensePassengersPerMutation	spliceVusDriversPerSample	splicePassengersPerMutation	indelVusDriversPerSample	indelPassengersPerMutation
RNF225	0.000e+00	9.432e-08	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	2.770e-08
AC012360.2	0.000e+00	8.575e-09	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00
AC012414.1	2.587e-03	1.167e-07	8.820e-05	1.382e-08	0.000e+00	0.000e+00	0.000e+00	0.000e+00
AC012485.1	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00
CYCSP7	0.000e+00	5.145e-08	0.000e+00	0.000e+00	0.000e+00	0.000e+00	1.171e-04	1.341e-08
TRMT112P6	3.130e-04	9.965e-08	3.248e-04	4.885e-09	0.000e+00	0.000e+00	3.167e-04	1.677e-08
AC013468.1	3.228e-04	4.961e-09	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00
AC013469.1	2.333e-04	8.340e-09	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00
AC015660.1	8.832e-04	1.810e-08	0.000e+00	0.000e+00	0.000e+00	0.000e+00	1.808e-04	5.639e-09
AC015987.2	1.401e-04	2.901e-08	1.481e-04	2.983e-09	0.000e+00	0.000e+00	1.238e-04	1.259e-08
