gene	missenseVusDriversPerSample	missensePassengersPerMutation
AKAP14	2.5732310497290033E-4	1.1249585885452923E-7
AKAP17A	0.0	1.4845723060384942E-7
AKAP2	0.0	3.2165733297500707E-7
AKAP4	1.7822089460171547E-4	3.262588832003405E-7
AKAP6	0.0031188087972921826	1.2991160423284516E-6
AKAP7	2.4429239082290796E-4	1.5017826576914958E-7
AKAP8L	0.0	3.464002047423153E-7
AKIRIN2	0.0	4.948574353461647E-8
AKNA	0.0	4.3300025592789415E-7
AKNAD1	0.0010468755870589625	3.37873940180275E-7
AKR1A1	0.0023139407303204356	7.231936706287533E-8
AKR1B1	9.642913911336519E-4	8.167420486270187E-8
AKR1B15	0.005617879395082581	1.509635970589309E-7
AKR1C1	0.0011855439995866889	1.3388544757345493E-7
AKR1C3	2.8850960983436915E-4	2.10107709740823E-7
AKR1C4	0.0	2.8454302532404473E-7
AKR1CL1	6.738442470754464E-5	9.603373234468504E-8
AKR1D1	0.005859244607320393	2.1466942767180344E-7
AKR7A2	0.0	1.1134292295288707E-7
AKT1	0.0011137592148782731	1.370150445291768E-7
AKT1S1	0.0	1.2371435883654117E-7
AKT3	0.0020488662765215677	1.704758533205694E-7
AL009178.1	0.0	4.948574353461647E-8
AL022328.1	2.038813326069039E-5	1.1482575660074893E-8
AL033381.1	5.287438699568778E-4	5.117700049949626E-8
AL050303.1	0.0021924448587102626	1.2710195882888863E-7
AL078585.1	0.0	7.422861530192471E-8
AL079342.1	0.0	7.422861530192471E-8
AL117190.3	0.0	6.185717941827058E-8
AL118506.1	8.548272629760346E-4	3.6960762361436105E-8
AL133373.1	0.0	4.948574353461647E-8
AL133481.1	0.0	8.660005118557883E-8
AL138815.2	5.021182149335714E-5	4.729666176296858E-8
AL138847.1	6.357435727022E-4	3.414070498945882E-8
AL139099.1	0.0	1.2371435883654117E-8
AL139333.1	0.0	0.0
AL355390.1	0.0	9.897148706923294E-8
AL357673.1	0.0	3.7114307650962355E-8
AL359736.1	5.753269687410289E-4	4.9146119934274195E-8
