gene	missenseDriverLikelihood	missenseExpDriversPerSample	missenseExpPassengersPerLoad	nonsenseDriverLikelihood	nonsenseExpDriversPerSample	nonsenseExpPassengersPerLoad	spliceDriverLikelihood	spliceExpDriversPerSample	spliceExpPassengersPerLoad	indelDriverLikelihood	indelExpDriversPerSample	indelExpPassengersPerLoad
LDLRAD3	0.0	0.0	1.3344512327855095E-7	0.0	0.0	0.0	0.0899047246544467	5.102424781750664E-5	2.0241296035619023E-8	0.0	0.0	0.0
LDLRAD4	0.05694910961359451	3.7168828635433424E-4	2.4120395612399214E-7	0.0	0.0	0.0	0.0	0.0	1.1120426939879246E-8	0.0	0.0	7.524901214978075E-8
LDLRAP1	0.0	0.0	1.0008384245891322E-7	0.0	0.0	0.0	0.0	0.0	0.0	0.6774006589803561	7.688997264249217E-4	9.71011269275938E-8
LDOC1	0.07571967432030823	3.008159592747773E-4	1.438974856716433E-7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.524901214978075E-8
LDOC1L	0.31329253674479673	0.0013335380394926082	1.145472026129895E-7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LEAP2	0.0	0.0	2.2240853879758492E-8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LECT1	0.0	0.0	1.5568597715830946E-7	0.4238890903493449	1.2028634799924657E-4	6.406599280037484E-9	0.4238890903493449	1.2028634799924657E-4	6.406599280037484E-9	0.0	0.0	7.524901214978075E-8
LECT2	0.3938320196548357	8.940567983083672E-4	5.392677390978047E-8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LEF1	0.25171173693745047	0.0014999848114887798	1.747469841464807E-7	0.0	0.0	0.0	0.0	0.0	1.1120426939879246E-8	0.5812892254206441	8.247576978158968E-4	1.5753786081783033E-7
LEFTY1	0.0	0.0	2.2240853879758495E-7	0.0	0.0	1.1120426939879246E-8	0.0	0.0	0.0	0.0	0.0	1.504980242995615E-7
