Sig1,Sig2,Sig3,Sig4,Sig5,Sig6,Sig7,Sig8,Sig9,Sig10,Sig11,Sig12,Sig13,Sig14,Sig15,Sig16,Sig17,Sig18,Sig19,Sig20,Sig21,Sig22,Sig23,Sig24,Sig25,Sig26,Sig27,Sig28,Sig29,Sig30
0.0139,0.0013,0.013,0.0084,0.0354,0.0075,5e-04,0.0162,0.0252,0.0031,6e-04,0.0466,5e-04,0.0026,0.0115,0.0717,0.0027,0.0029,0.0145,0.0164,0.0265,0.0168,0.0011,0.0047,0.0207,0.055,0.005,0.0041,0.0101,0
0.0063,4e-04,0.0092,0.002,0.0138,0.0056,1e-04,0.0078,0.0105,0.0052,0.0015,0.0317,1e-04,0.0046,0.0073,0.0171,0.0081,0.0015,0.0048,0.0193,0.0165,0.0011,2e-04,6e-04,0.0095,0.0276,0.0018,0.0079,0.0063,0.0088
0.0101,6e-04,0.0117,0.0081,0.0284,0.0217,7e-04,0.0099,0.0176,0.0026,8e-04,0.0487,3e-04,0.0035,0.0073,0.0348,0.0044,0.0033,0.0135,0.0548,0.0224,0.0049,5e-04,0.0027,0.0199,0.0518,0.0057,0.0055,0.0147,0.009
0.0093,0.0015,0.017,0.0036,0.0273,0.0023,0.0011,0.0218,0.0247,0.004,3e-04,0.025,3e-04,0.0025,0.0063,0.0497,0.0031,0.0055,0.016,0.0073,0.0189,0.0026,3e-04,0.0071,0.0145,0.0391,0.0026,0.0032,0.0079,0
0.0042,5e-04,0.0079,0.0052,0.0142,0.0062,0.001,0.0052,0.0154,5e-04,1e-04,0.0312,0,6e-04,0.0032,0.0146,0.0074,2e-04,0.0066,0.0149,0.0219,0.004,0,0.0018,0.009,0.0379,0.0049,0.0207,0,0
0.0053,4e-04,0.0144,0.0026,0.0125,0.004,8e-04,0.0109,0.0118,0.0019,4e-04,0.0385,0,0.0053,0.005,0.0194,0.0397,0.0031,0.007,0.0184,0.01,0.0014,0,0.0045,0.0108,0.0217,0.0057,0.0433,0.0028,0
0.007,4e-04,0.0084,0.01,0.0187,0.027,0.001,0.0057,0.0154,0.0015,1e-04,0.0415,1e-04,0.0016,0.0128,0.019,0.0286,0.0026,0.004,0.0742,0.0211,0.0027,3e-04,0,0.0134,0.0472,0.0057,0.0371,0.0069,0
0.0067,6e-04,0.0119,0.0054,0.0191,0.0033,0.0045,0.0111,0.0275,0.002,9e-04,0.0324,0,0.0027,0.0035,0.0263,0.1019,0.0013,0.0053,0.011,0.0204,0.0024,0,0.0016,0.009,0.0207,0.0039,0.0051,0.003,0
0.0112,0,0.0069,0.0061,0.0163,0.0122,2e-04,0.0057,0.0091,0.0064,0.001,0.0573,0.0011,0.0078,0.0195,0.0161,0,5e-04,0.0039,0.0025,0.1426,0.0042,3e-04,0.0013,0.0175,0.0981,0.0048,0.0037,0.0071,0
0.007,2e-04,0.0063,0.0016,0.0096,0.0059,1e-04,0.0052,0.0097,0.0101,0.0016,0.0274,5e-04,0.0127,0.0499,0.0099,0.0097,0.0023,0.003,0.0016,0.0665,0,5e-04,0.0067,0.004,0.0402,0.002,0.0071,0.0071,0.0066
0.005,0,0.0061,0.0042,0.0141,0.0115,3e-04,0.005,0.0094,0.0054,0.0019,0.041,6e-04,0.0082,0.0154,0.0148,0.0047,0.0059,0.006,0.0273,0.0884,0.0015,0,3e-04,0.0134,0.0446,0.0012,0.0082,0.0056,0.0079
0.0107,6e-04,0.0075,0.0024,0.0157,0.0042,0.0081,0.0085,0.0126,0.0124,0.0023,0.0405,7e-04,0.0086,0.0094,0.0142,0.0081,0.0048,0.0099,0.0015,0.1003,0.0016,0.001,0.0042,0.0142,0.0555,0.0037,4e-04,0.0112,0.0085
0.0081,1e-04,0.0091,0.0028,0.0171,0.0059,0.0023,0.0049,0.0156,0.003,2e-04,0.05,8e-04,0.0018,0.0068,0.0246,0.0017,3e-04,0.0052,0.0057,0.0389,0.0048,0,0.0017,0.0145,0.0288,0.0017,0.0099,0.0115,0
0.0049,5e-04,0.011,0.0016,0.0142,0.0035,0.0018,0.0061,0.0137,0.0097,9e-04,0.0342,1e-04,0.0056,0.0099,0.0183,0.0111,0.0063,0.002,0.0112,0.0313,9e-04,2e-04,0.0023,0.0074,0.0366,0.0035,0.029,0.0036,0.0091
0.0083,2e-04,0.0061,0.0036,0.0126,0.0106,0.0019,0.0017,0.0098,0.0065,7e-04,0.032,0,0.0034,0.0039,0.0165,0.0059,0.0015,0.0057,0.0238,0.0249,0.0018,2e-04,5e-04,0.0049,0.0191,0.0012,0.0157,0.0017,0.006
0.0063,6e-04,0.0108,0.0022,0.0174,0.0029,0.0024,0.01,0.0309,0.0099,5e-04,0.0371,2e-04,0.0026,0.0047,0.0174,0.0072,0.0014,0.0038,0.0054,0.0274,0,0,4e-04,0.017,0.0231,0.0015,0.0173,0.0038,0
0.0016,0,0.0024,0,0.0035,0,0,0.0042,0.0335,0,0,0.0012,4e-04,0,0,0.0052,1e-04,4e-04,0.0014,0,0,0.0017,0,0,0.0053,1e-04,0.0011,0.0064,0,0.0053
0.0018,0,0.0015,2e-04,0.0022,0.0017,0,8e-04,0.0051,0.004,0,0.001,1e-04,0.002,6e-04,0.0042,0.0065,0.0013,0,4e-04,0.0031,0,0,0.0015,0,2e-04,0.001,0.0166,0,0.0025
0.0014,3e-04,0.0091,0.0015,0.0055,7e-04,9e-04,0.0069,0.0052,0.0015,1e-04,0.0018,0,7e-04,0.0012,0.0061,0.0035,0.0024,0.001,7e-04,0.0016,0.0011,0,8e-04,0.0071,0.0013,1e-04,0.0066,0.0029,0.0063
0.0032,2e-04,0.007,2e-04,0.0038,0.0029,0,0.0029,0.0193,0.0137,0,0.003,2e-04,0.0056,0.0029,0.0076,0.0309,3e-04,0.0017,5e-04,0.0018,0,0,0.0011,0,0.0019,3e-04,0.0864,0,0.0095
3e-04,1e-04,0.002,0,0.002,1e-04,0,0.0024,0.0216,0.0022,0,0.0013,0,0,0,2e-04,1e-04,1e-04,0,0,0,0.0011,0,0,0,1e-04,0,0.0096,0.0011,0.0046
0.0021,0,0.0058,0.0013,0.0035,0.004,8e-04,0.0021,0.0064,0.0018,1e-04,0.0049,1e-04,0.002,0.0019,0.0082,0.0198,0.002,0.0011,0.0085,5e-04,0.0011,2e-04,0.0022,0.0029,0.0039,4e-04,0.0339,0,0.006
0.0016,2e-04,0.0105,0.0046,0.0071,0.005,9e-04,0.0066,0.0126,0.0037,0.0011,0.0045,0,5e-04,7e-04,0.0067,0.0134,0.0053,0.0013,0.0154,4e-04,0.0042,0,1e-04,0.0118,0.0055,4e-04,0.0185,0.0022,0.0074
0.0028,1e-04,0.0087,0.0012,0.0115,0.0086,0.0013,0.0049,0.0509,0.0182,9e-04,0.0063,5e-04,0.0063,0.0045,0.0186,0.2615,0.0023,0.0019,0.0022,0.0032,0.0016,2e-04,0.0025,0.0086,0.0068,0.0014,0.119,0.0011,0.0091
1e-04,1e-04,0.0041,0,0.0016,0,0,0.001,0.0072,0,0,0,0,0,0,0,0,0.0013,0,0,0,0,0,0,0.0055,0,0,0,0,0.0032
2e-04,0,0.0045,0,3e-04,0.0016,0,5e-04,6e-04,0.002,0,4e-04,1e-04,0.0019,0.0022,0.0032,0.0091,0,0,0.0028,6e-04,0,0,0.0011,0,0.0025,1e-04,0,0,0.0019
0.0012,1e-04,0.0164,0.0018,0.0059,0.001,0.0017,0.0061,0.005,9e-04,0.001,0.0011,0,0.0012,0.0037,8e-04,0.0048,0.0097,0.0043,0.0027,4e-04,0.0019,2e-04,0.0029,0.0087,8e-04,0.0047,0.0042,0.0036,0.0033
8e-04,1e-04,0.0071,2e-04,0.0033,0.0035,9e-04,0.0054,0.0185,0.003,0,0.0032,1e-04,0.0038,0.019,0.0044,0.0635,0.0029,0.0025,0.0036,8e-04,0,0,8e-04,0.0028,0.0078,0.0023,0.0316,0.0062,0.0056
0.0014,1e-04,0.0054,0,0.0052,9e-04,0,0.0017,0.0502,0.005,0,0.0019,5e-04,0,0,0.0068,1e-04,0,0.0032,0,0,0.0017,0,0,0.0021,0,0.0012,0.0094,0,0.0087
0.0013,0,0.0062,3e-04,0.0051,0.0019,0.001,0.0025,0.0081,0.0092,0,0.0027,2e-04,0.0015,4e-04,0.0069,0.0096,0.0032,0.0018,4e-04,0.0018,0,0,0,6e-04,0.0027,3e-04,0.0301,0,0.0043
0.002,2e-04,0.0111,0.003,0.0061,0.0011,0.001,0.006,0.0088,0.0022,3e-04,0.0011,0,2e-04,9e-04,0.0049,0.0045,8e-04,0.0011,5e-04,3e-04,0.0026,2e-04,0.0014,0.0094,0.0014,0.0024,0.0127,4e-04,0.0083
0.004,0,0.013,0.0011,0.0134,0.0072,0.0014,0.0072,0.0545,0.0633,3e-04,0.0032,7e-04,0.0025,0.0033,0.0163,0.058,0.0021,0.0013,6e-04,3e-04,0,0,1e-04,0.0079,0.0026,1e-04,0.2337,0.0061,0
