Chr37	Start37	End37	Orient37	Chr38 	Start38	End38	Orient38
1	13814486	13826706	+	1	13488034	13500254	+
1	13826706	13828046	+	1	13500256	13501596	+
1	13828050	13828548	+	1	13501596	13502094	+
1	13828549	13830690	+	1	13502094	13504235	+
1	13830691	13831227	+	1	13504235	13504771	+
1	13831237	13831331	+	1	13504771	13504865	+
1	13831337	13832408	+	1	13504865	13505936	+
1	13832431	14696459	+	1	13505936	14369964	+
1	14696460	15769878	+	1	14369964	15443382	+
1	15769878	17125658	+	1	15443383	16799163	+
1	17175658	17718673	+	1	16849163	17392178	+
1	17718674	17858723	+	1	17392178	17532227	+
1	17858723	18171131	+	1	17532228	17844636	+
1	18171132	18196821	+	1	17844636	17870325	+
1	18196821	18197652	+	1	17870326	17871157	+
1	18197652	19977786	+	1	17871158	19651292	+
1	19977786	23824302	+	1	19651293	23497809	+
1	23824302	23866717	+	1	23497810	23540225	+
1	23866717	23887354	+	1	23540226	23560863	+
1	23887354	24869369	+	1	23560864	24542879	+
1	24869370	27703301	+	1	24542879	27376810	+
1	27703302	27704987	+	1	27376810	27378495	+
1	27704987	27705249	+	1	27378496	27378758	+
1	27705249	27714597	+	1	27378759	27388107	+
1	27714598	27715707	+	1	27388107	27389216	+
1	27715720	27732103	+	1	27389216	27405599	+
1	27732103	27744402	+	1	27405609	27417908	+
1	27744409	27747015	+	1	27417908	27420514	+
1	27747016	27749120	+	1	27420514	27422618	+
1	27749121	27750278	+	1	27422618	27423775	+
1	27750280	27751035	+	1	27423775	27424530	+
1	27751036	27752344	+	1	27424530	27425838	+
1	27752347	27753022	+	1	27425838	27426513	+
1	27753023	27755674	+	1	27426513	27429164	+
1	27755674	27759156	+	1	27429165	27432647	+
1	27759159	27761814	+	1	27432647	27435302	+
1	27761816	27768267	+	1	27435302	27441753	+
1	27768268	27769505	+	1	27441753	27442990	+
1	27769505	27769821	+	1	27442991	27443307	+
1	27769821	27773294	+	1	27443308	27446781	+
1	27773294	27776704	+	1	27446782	27450192	+
1	27776704	28799361	+	1	27450193	28472850	+
1	28799362	29878082	+	1	28472850	29551570	+
1	30028082	31949429	+	1	29555235	31476582	+
1	31949429	31953886	+	1	31476583	31481040	+
